id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
613181,90m2 / Mexico City's Hist. downtown,3040937,Alejandro,,Cuauhtémoc,19.43826,-99.1366,Entire home/apt,999,3,231,2024-11-11,1.53,1,135,25,
640803,"Juan O'Gorman House - Studio,",3200155,Paulina,,Álvaro Obregón,19.35106,-99.19789,Entire home/apt,6633,4,22,2017-05-19,0.15,2,240,0,
642725,Recamara en depa a 5 minutos del metropolitano,3213044,Laura,,Cuauhtémoc,19.40809,-99.18109,Private room,,2,0,,,1,0,0,
642797,"Big Penthouse, Unmatched View. Great Location.",3151538,Leon,,Miguel Hidalgo,19.41499,-99.18215,Entire home/apt,11824,5,102,2024-10-20,0.70,1,355,2,
654106,1 private room in a nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44333,-99.18497,Private room,358,5,1,2013-12-21,0.01,1,359,0,
691019,"Modern Complex @Historic District, renovated 2023",3531879,Gonzalo,,Cuauhtémoc,19.43422,-99.145658,Entire home/apt,1300,21,267,2024-04-17,1.79,3,350,2,
696031,"Práctico y Renovado, a 2 cuadras de Polanco",3531879,Gonzalo,,Miguel Hidalgo,19.44226,-99.18406,Entire home/apt,1130,20,150,2024-12-01,1.03,3,356,3,
696037,"3 Bedrooms, 2 blocks from Polanco",3531879,Gonzalo,,Miguel Hidalgo,19.4418,-99.18402,Entire home/apt,1600,60,39,2022-12-21,0.26,3,241,0,
704779,"SECURE BEST LOCATION City Center, Tours 104",2872228,Bruce,,Cuauhtémoc,19.43103,-99.14661,Entire home/apt,865,2,27,2024-12-24,0.20,15,116,8,
728372,Casa Indigo in the Center DF groups until 29 Pers,3777702,Abraham,,Cuauhtémoc,19.44222,-99.14461,Entire home/apt,3438,1,153,2024-11-23,1.03,6,339,20,
737328,Business Suite BEIGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43059,-99.17073,Hotel room,,2,25,2024-02-11,0.17,11,365,1,
741557,Business Suite ORANGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43059,-99.17073,Entire home/apt,1415,2,7,2022-12-05,0.05,11,241,0,
760912,"Stylish bachelor pad in La Roma, DF",3817743,Max,,Cuauhtémoc,19.40891,-99.16083,Private room,809,1,5,2016-01-30,0.03,1,364,0,
783080,Nice quiet room in a lovely house!!,1767559,Anna,,La Magdalena Contreras,19.33009,-99.21418,Private room,1011,4,4,2023-03-26,0.03,3,364,0,
783480,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35379,-99.28459,Private room,500,2,36,2024-10-07,0.28,2,329,2,
796477,Classic but Modern Apartment in Condesa,4195771,Jair,,Cuauhtémoc,19.41824,-99.1756,Private room,607,5,147,2022-11-30,1.20,1,361,0,
817291,Live Mexico City Like a Small Town,4017148,Alberto & Lu,,Benito Juárez,19.38468,-99.17708,Entire home/apt,1072,2,85,2024-11-08,0.58,1,26,8,
822005,AMAZING LOFT in the heart of CDMX,4316391,Alejandro,,Miguel Hidalgo,19.40243,-99.17828,Entire home/apt,1391,4,55,2023-11-30,0.40,1,319,0,
824016,Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,30,45,2019-05-06,0.32,6,330,0,
826691,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,850,180,18,2019-05-11,0.13,6,271,0,
826760,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,971,4,16,2020-03-15,0.11,6,241,0,
828714,Apartment with Internet & 2 cable TV's,4344353,Miriam,,Coyoacán,19.34183,-99.15533,Entire home/apt,910,2,28,2024-08-18,0.28,1,265,1,
832805,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,,Cuauhtémoc,19.44262,-99.14566,Private room,,1,153,2024-12-17,1.05,6,364,15,
858277,"Beautiful, Big apartment, Condesa,",3200155,Paulina,,Cuauhtémoc,19.41319,-99.1758,Entire home/apt,3842,2,136,2020-03-03,0.93,2,302,0,
865012,Business Suite RED near Reforma Av.,3850198,Hermann,,Cuauhtémoc,19.43078,-99.17011,Hotel room,,2,31,2022-01-01,0.22,11,364,0,
868843,Business Suite PURPLE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43068,-99.17007,Hotel room,1213,2,56,2024-09-16,0.44,11,341,3,
868986,Business Suite BLUE near Reforma Av,3850198,Hermann,,Cuauhtémoc,19.4306,-99.17074,Entire home/apt,1213,2,25,2024-07-22,0.17,11,346,2,
869063,Business Suite BLACK near Reforma,3850198,Hermann,,Cuauhtémoc,19.43052,-99.17003,Hotel room,,2,38,2024-04-21,0.35,11,363,5,
883511,Cozy House with Roofterrace group 29 pax Center DF,3777702,Abraham,,Cuauhtémoc,19.44207,-99.14797,Entire home/apt,3438,1,277,2024-12-12,1.91,6,340,17,
898633,City SkyLine View from 1 Bedroom Apt in CDMX,4796027,Marco,,Cuauhtémoc,19.42063,-99.16586,Entire home/apt,1824,3,56,2024-04-17,0.39,3,333,1,
913084,15 blocks from Paseo de la Reforma,4647293,Martina,,Miguel Hidalgo,19.43956,-99.17263,Entire home/apt,993,2,167,2024-12-18,1.18,1,355,12,
939721,Radiant Apartment with Terrace in Roma Norte,4821807,Alex,,Cuauhtémoc,19.42288,-99.15488,Entire home/apt,1684,3,540,2024-12-10,3.78,3,90,26,
1001517,Colonial House Downtown Coyoacan,5507751,Arlette And Fernando,,Coyoacán,19.3461,-99.15911,Entire home/apt,1949,2,82,2024-11-19,0.59,3,262,7,
1011428,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,5307709,Rosa María,,Álvaro Obregón,19.34406,-99.19413,Entire home/apt,7583,7,24,2023-12-26,0.17,1,358,0,
1013504,"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo,,Coyoacán,19.34034,-99.18345,Private room,410,2,73,2024-12-08,0.54,2,321,18,
1051636,Chilango chic: room historic Condesa DF,22366411,Citlalli,,Cuauhtémoc,19.40592,-99.1691,Private room,991,2,30,2023-11-02,0.21,1,365,0,
1066945,"Villa Alfonsina, Heart of Coyoacan",5870021,Héctor,,Coyoacán,19.35445,-99.16251,Private room,1200,2,153,2024-10-30,1.13,5,311,1,
1087636,Apartment at south of Mexico city,5975456,Pamela,,Coyoacán,19.30523,-99.18356,Private room,526,1,51,2024-12-09,0.42,1,360,7,
1164876,Beautiful designer artists home..,212109,Trisha,,Coyoacán,19.35164,-99.15289,Entire home/apt,4954,10,6,2017-12-30,0.04,3,173,0,
1167552,"Big private room with studio, Roma Mexico City.",6393641,José,,Cuauhtémoc,19.41317,-99.15735,Private room,708,3,155,2024-11-17,1.10,1,27,11,
1170780,"Renew Room, near to Condesa",6409883,Pato,,Benito Juárez,19.39129,-99.1888,Private room,425,3,17,2019-04-28,0.13,2,0,0,
1187817,Suite 1 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,120,48,2018-11-24,0.34,6,151,0,
1211383,Room & bathroom in great house!,212109,Trisha,,Coyoacán,19.355,-99.16181,Private room,,5,20,2022-04-04,0.15,3,0,0,
1283294,Beguest Reforma | King SZ | Gym,5755202,Andres,,Cuauhtémoc,19.42801,-99.16467,Entire home/apt,1439,3,174,2024-12-22,1.30,36,84,16,
1286695,"Comfortable, beautiful and convenient pied à terre",6998716,Maria,,Miguel Hidalgo,19.43514,-99.18361,Entire home/apt,1228,8,34,2024-10-16,0.34,1,270,4,
1288566,Luxury Loft-Style Apartment in Vibrant Polanco Neighborhood,540705,Andrea,,Miguel Hidalgo,19.43179,-99.19426,Entire home/apt,3620,1,187,2024-12-19,1.75,2,309,50,
1309198,Linda y práctica habitación tipo estudio,7116734,Mafer,,Coyoacán,19.34356,-99.1286,Private room,,2,2,2024-07-31,0.03,3,297,1,
1363110,"Hermosa recámara, cerca La Condesa",6409883,Pato,,Benito Juárez,19.39165,-99.18885,Private room,425,3,26,2018-11-12,0.19,2,0,0,
1378164,Prívate apartment next to public transport,2492211,Daniel,,Benito Juárez,19.39829,-99.13817,Entire home/apt,,30,36,2022-04-02,0.47,1,87,0,
1403168,Habitación disponible,7569372,Paola,,Miguel Hidalgo,19.40288,-99.17884,Private room,602,2,2,2023-11-20,0.03,1,365,0,
1403218,HOUSE INDIGO IN THE CEN. OF MEX CITY,3777702,Abraham,,Cuauhtémoc,19.44324,-99.14649,Entire home/apt,3438,1,162,2024-10-16,1.19,6,351,2,
1404363,SPOTLESS beautiful sunny loft in Del Valle,5341352,Maria Giselle,,Benito Juárez,19.38015,-99.17402,Entire home/apt,1087,4,136,2024-12-12,0.98,2,260,9,
1411454,Modern Suite in Roma Mansion,7609684,Juan Carlos,,Cuauhtémoc,19.41701,-99.1658,Entire home/apt,1530,3,355,2024-12-09,2.57,4,118,20,
1441434,"Business Guest, Gym,Pool, Mall access, Garden View",7740056,Mireya Cristina,,Cuauhtémoc,19.427968978881836,-99.16129302978516,Entire home/apt,10000,2,232,2024-12-09,1.67,4,169,11,
1462549,Charming loft near Reforma Ave.,7838265,Ernesto,,Miguel Hidalgo,19.42833,-99.17634,Entire home/apt,1103,4,118,2024-12-01,0.86,8,173,19,
1476127,Habitación FRIDA design - terraza compartida,7900007,Martha Leticia,,Benito Juárez,19.38021,-99.16878,Private room,,1,288,2024-12-22,2.09,2,355,50,
1483664,Short/Long Term near Coyoacan&Cntr Nat delas Artes,6373011,La Casita DF,,Iztapalapa,19.35796,-99.12219,Private room,,30,3,2018-10-29,0.04,2,0,0,
1547284,SUPER CLEAN great sunny apartment in Del Valle,5341352,Maria Giselle,,Benito Juárez,19.37845,-99.17221,Entire home/apt,1100,1,72,2024-12-16,0.53,2,316,13,
1555819,New Suite in Vintage Home in Roma/Condesa,8282570,Thomas,,Cuauhtémoc,19.41709,-99.16603,Entire home/apt,1485,3,357,2024-11-28,2.59,3,129,22,
1565220,Descansa en la Suite de la Abuelita San Angel CDMX,2518152,Martha Laura,,Álvaro Obregón,19.34735,-99.19016,Hotel room,2800,1,28,2024-01-02,0.21,7,365,1,
1627630,Recline on the Terrace of this 1920s Art Nouveau Mansion,8282570,Thomas,,Cuauhtémoc,19.41501,-99.16565,Entire home/apt,1530,3,349,2024-11-28,2.55,3,108,22,
1635595,Stylish loft in the heart of Mexico City (B2),8686853,Marina,,Cuauhtémoc,19.43149,-99.165543,Entire home/apt,1375,1,72,2024-11-17,1.96,3,360,9,
1656382,Habitación individual c baño propio,796221,Karla,,Cuauhtémoc,19.41095,-99.18215,Private room,,1,0,,,1,0,0,
1676923,Two Floor apartment in Porfirian Town House,18979393,Eva,,Cuauhtémoc,19.41919,-99.15894,Entire home/apt,2083,1,384,2024-12-03,2.86,1,314,50,
1727725,"Descansa en la suite del geógrafo, San Angel CDMX",2518152,Martha Laura,,Álvaro Obregón,19.34923,-99.19307,Private room,2200,1,36,2024-03-02,0.27,7,365,1,
1736063,"Cómodo Estudio del Botánico, San Angel CDMX",2518152,Martha Laura,,Álvaro Obregón,19.34723,-99.19396,Hotel room,,1,63,2024-11-18,0.48,7,362,10,
1768385,Heart of the City: Cozy Apartment with Pool & Gym,1004821,Angela,,Cuauhtémoc,19.43432,-99.14581,Entire home/apt,1193,2,412,2024-12-08,3.09,9,153,51,
1798108,Near park Mexico. Brilliant and renovated flat!,1595855,Luis Yahir,,Cuauhtémoc,19.41638,-99.16868,Entire home/apt,1600,4,10,2024-12-12,0.07,2,6,2,
1826212,nice apartment in colonia del Valle,9556116,Raquel,,Benito Juárez,19.38089,-99.17245,Entire home/apt,1000,5,96,2024-11-30,0.72,1,331,1,
1850394,xolo stays / PH with roof garden and AC,9664207,Francisco,,Cuauhtémoc,19.43122,-99.15562,Entire home/apt,2770,2,319,2024-12-03,2.38,16,294,3,
1869809,Luminoso departamento muy bien ubicado y tranquilo,8793173,Mercedes,,Benito Juárez,19.36823,-99.18607,Entire home/apt,,15,3,2022-04-30,0.07,1,302,0,
1877286,Beguest Juarez | Mr b&b Partner | King Size | Gym,5755202,Andres,,Cuauhtémoc,19.42804,-99.16463,Entire home/apt,1459,2,124,2024-11-27,0.93,36,85,14,
1919273,"Bonito, roma norte, ubicadísimo",9949877,Dalia,,Cuauhtémoc,19.42048,-99.16697,Private room,450,20,88,2024-08-22,0.68,2,55,1,
1919310,"Great location, nice apartment",9949877,Dalia,,Cuauhtémoc,19.42242,-99.16823,Private room,350,15,145,2023-10-08,1.08,2,40,0,
1919438,Beautiful renovated 1920's Brownstone in Juárez,3494399,Rodrigo,,Cuauhtémoc,19.42048,-99.15678,Entire home/apt,2692,4,297,2024-11-06,2.20,1,248,30,
1920070,Mountain Oasis surrender by trees,9953466,Gabriela,,Tlalpan,19.24444,-99.17044,Private room,,1,3,2019-10-27,0.03,1,0,0,
1925256,"Cómodo Estudio del Arqueólogo, San Angel CDMX",2518152,Martha Laura,,Álvaro Obregón,19.34943,-99.19427,Private room,2000,1,52,2024-11-30,0.40,7,365,7,
3479520,Comfortable room with dinning room,17527001,Andrea,,Coyoacán,19.35263,-99.16245,Entire home/apt,670,4,22,2024-11-03,0.17,4,135,7,
3490114,Cuarto en renta,17575648,Josue,,Cuauhtémoc,19.40924,-99.16619,Private room,,1,0,,,1,0,0,
3506037,SUITES BOSQUES MEDICA SUR,17650235,Chelita,,Coyoacán,19.29966,-99.15624,Private room,600,1,1,2022-10-07,0.04,2,365,0,
3536304,San Angel Inn - Blue Room.,18260491,Simha,,Álvaro Obregón,19.35058,-99.19749,Private room,838,1,15,2024-04-09,0.17,3,365,1,
3577110,Penthouse with terrace in Colonia Roma by Condesa,18015070,Maria Del Pilar,,Cuauhtémoc,19.41232,-99.16073,Entire home/apt,829,4,227,2024-12-02,1.79,14,43,33,
3595167,Independent stay near Independence Angel - Reforma,18112590,Carlos,,Cuauhtémoc,19.43211,-99.16912,Entire home/apt,503,1,343,2024-11-18,3.68,1,352,53,
3602334,ONE ROOM LOFT AT LOMAS DE CHAPULTEPEC,18149939,Charyl,,Miguel Hidalgo,19.43293,-99.21078,Entire home/apt,850,7,35,2023-12-09,0.29,1,212,0,
3624106,GREAT VIWE WITH GREAT PEOPLE,18259367,Hector,,Miguel Hidalgo,19.41239,-99.18398,Private room,850,1,29,2024-12-08,0.24,4,365,3,
3635953,Nice Loft in the heart of Polanco,18334496,Nando,,Miguel Hidalgo,19.43215,-99.18851,Entire home/apt,1871,1,638,2024-12-14,5.03,5,79,33,
3645689,PRIVATE BEDROOM SANTA FE - CUAJIMALPA,17429596,Paola,,Cuajimalpa de Morelos,19.36898,-99.29595,Private room,880,3,1,2017-07-29,0.01,2,118,0,
3685560,nice rooms in nice centric house,18744018,Christian,,Miguel Hidalgo,19.44358,-99.21206,Private room,3161,2,0,,,1,173,0,
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4044,1,0,,,1,363,0,
44616,Condesa Haus,196253,Fernando,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000,1,64,2023-03-26,0.40,8,357,0,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,2123,2,50,2024-10-30,0.31,2,343,4,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,1236,3,131,2024-12-20,0.84,3,285,8,
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35416,-99.16488,Private room,,1,0,,,3,0,0,
165772,BEST 5 Bedroom HOUSE IN S. Miguel Chapultepec,790208,Francisco Carlos,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,4056,2,367,2024-11-28,2.25,7,218,36,
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39675,-99.17581,Private room,340,4,111,2024-12-05,0.85,2,302,8,
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1777,3,54,2024-11-24,0.35,1,359,5,
187030,Spacious apt with the best rooftop in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,4,104,2023-09-08,0.65,6,0,0,
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,14,24,2018-01-03,0.18,6,0,0,
194937,Sunny & Fresh Apt. with best rooftop in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,1,77,2024-07-08,0.48,6,0,4,
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41554,-99.17927,Entire home/apt,800,2,203,2024-11-02,1.25,2,295,11,
204887,"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,,Cuauhtémoc,19.4059,-99.17548,Entire home/apt,780,3,30,2024-11-07,0.20,1,335,1,
245507,"Best location in town,  Reforma Ave area.",1288063,Francisco,,Cuauhtémoc,19.4236,-99.16979,Entire home/apt,1442,1,386,2024-12-01,2.40,2,363,29,
246057,Hip apartment/Great location/US Embassy,1288063,Francisco,,Cuauhtémoc,19.42335,-99.16963,Entire home/apt,1297,1,294,2024-12-08,1.84,2,361,24,
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43516,-99.13806,Entire home/apt,809,3,146,2024-12-13,0.92,2,329,28,
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos,,Miguel Hidalgo,19.40663,-99.18653,Entire home/apt,4044,2,322,2024-06-17,2.03,7,219,2,
261897,Charming 1 bedroom loft w/ balcony in Roma/condesa,1373924,Eric,,Cuauhtémoc,19.41877,-99.17199,Entire home/apt,1233,5,354,2023-03-25,2.24,1,58,0,
271048,Great location in Mexico City!,1417206,Maria Del Carmen,,Miguel Hidalgo,19.42485,-99.17797,Entire home/apt,800,5,13,2018-02-01,0.08,1,262,0,
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38061,-99.12729,Entire home/apt,,7,0,,,1,0,0,
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Fernando,,Cuauhtémoc,19.41108,-99.17634,Hotel room,,1,7,2019-10-05,0.06,8,309,0,
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41236,-99.17533,Entire home/apt,768,1,431,2024-12-02,3.13,12,344,23,
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36305,-99.15412,Private room,,2,0,,,1,0,0,
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43358,-99.14452,Entire home/apt,,3,119,2019-11-03,0.77,1,0,0,
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41368,-99.17907,Entire home/apt,804,2,211,2024-12-08,1.36,2,315,16,
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43319,-99.14665,Private room,,4,106,2020-09-19,0.80,1,0,0,
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,,Coyoacán,19.34034,-99.18345,Private room,506,2,231,2024-12-22,1.60,2,140,17,
326475,CHIC| Best location: Roma Norte| Private bathroom,1670032,Maria Isabel,,Cuauhtémoc,19.41444,-99.15734,Private room,790,2,160,2024-08-17,1.36,2,63,23,
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.2751,-99.17757,Private room,,3,17,2022-10-30,0.19,5,0,0,
331030,"Rento Recámara, Baño privado, Coyoacán Conchita",1688597,Emma,,Coyoacán,19.34549,-99.15872,Private room,1300,2,0,,,2,363,0,
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40639,-99.16686,Private room,,5,0,,,1,0,0,
362583,Spacious Modern Apt. with Parking Near Reforma Ave,1832239,Maria  & Jennifer,,Cuauhtémoc,19.43165,-99.17132,Entire home/apt,1618,3,46,2024-09-30,0.32,1,299,7,
375032,Hermosa Casa en Condesa - 6 Habitaciones,1886913,Distrito Condesa,,Cuauhtémoc,19.4075,-99.17561,Private room,15000,1,53,2023-06-11,0.35,10,345,0,
386265,"Room colonial, green, Coyoacán (Women only)",1933252,Esther,,Coyoacán,19.3424,-99.15419,Private room,316,4,21,2024-02-03,0.16,1,360,1,
395446,Cool apartment with  the Best Roof Top in Condesa,899360,Julian,,Cuauhtémoc,19.41068,-99.17732,Entire home/apt,,2,34,2024-09-28,0.23,6,0,6,
409709,"Colonial style, close to everything",1595855,Luis Yahir,,Cuauhtémoc,19.42575,-99.16236,Entire home/apt,1517,3,5,2012-12-31,0.03,2,365,0,
419110,Comfy clean Roøm @Cozy apartment,2084312,Sara,,Cuauhtémoc,19.41017,-99.17886,Private room,667,3,49,2019-11-04,0.52,1,88,0,
454693,Condesa: Ideal for Tourism and Remote Work,1601561,Sylvia Eugenia,,Cuauhtémoc,19.40835638269101,-99.17329884322169,Entire home/apt,1719,1,279,2024-12-06,1.84,1,147,16,
456242,Nice and cozy room with terrace!!!!,1767559,Anna,,La Magdalena Contreras,19.33036,-99.21737,Private room,443,3,2,2015-07-08,0.02,3,38,0,
458808,Departamento  Roma Norte- Sanitizado,2281290,Jorge Arturo,,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,988,1,139,2024-12-12,1.25,24,270,41,
486913,Spacious 60´s / San Rafael-Reforma check in 24hrs,2409917,Darío,,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,1040,1,35,2023-07-06,0.23,3,0,0,
491412,Luxury Room for rent in Santa Fe area México City,2428947,Esther,,Miguel Hidalgo,19.38875,-99.24067,Private room,1143,7,0,,,3,88,0,
1945351,"Private room. Near COLMEX, UPN, FLACSO",340030,Griselda,,Tlalpan,19.28356,-99.21837,Private room,513,3,4,2024-10-27,0.05,3,348,2,
1988412,Sunny appartment in Narvarte neighborhood,10128524,Jochi,,Benito Juárez,19.38672,-99.15554,Entire home/apt,,6,23,2018-07-18,0.17,1,0,0,
1999474,Big sunny flat Plaza Rio de Janeiro,10300365,Claire,,Cuauhtémoc,19.42064,-99.16134,Entire home/apt,2022,4,58,2024-11-05,0.43,1,310,2,
2003918,Huge apartment with spacious private rooftop!,10317668,Rodrigo,,Miguel Hidalgo,19.39877375952444,-99.17890175126874,Entire home/apt,1500,1,4,2024-05-26,0.43,1,349,4,
2030859,MASTER ROOM IN THE GREAT HOUSE,790208,Francisco Carlos,,Miguel Hidalgo,19.40692,-99.18831,Private room,924,2,50,2017-08-14,0.38,7,285,0,
2033931,INTIMATE & COMPLETE STUDIO IN ANZURES,7838265,Ernesto,,Miguel Hidalgo,19.42887,-99.17651,Entire home/apt,850,4,52,2024-12-13,0.49,8,173,11,
2056514,Acogedor departamento en Coyoacán,10531228,Maria,,Coyoacán,19.35711,-99.16049,Entire home/apt,,30,46,2024-01-20,0.40,3,0,1,
2056622,Cómodo y espacioso loft en Coyoacán,10531228,Maria,,Coyoacán,19.35585,-99.16315,Entire home/apt,,2,15,2024-03-02,0.15,3,0,2,
2056638,Amplio y luminoso loft en Coyoacán,10531228,Maria,,Coyoacán,19.35353,-99.16299,Entire home/apt,,28,21,2018-06-24,0.16,3,0,0,
2072354,Coyoacan Historic Studio Apartment,16840050,Mónica,,Coyoacán,19.35358,-99.16948,Entire home/apt,800,3,63,2024-11-03,0.47,2,351,2,
2075738,Amazing apartment Mexico City!!!,2339771,Rodrigo,,Cuauhtémoc,19.41909,-99.16043,Entire home/apt,2990,3,108,2024-12-24,0.81,1,298,18,
2083241,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,,Cuauhtémoc,19.4153,-99.16763,Entire home/apt,1491,3,317,2024-12-01,2.54,3,147,26,
2084093,5 min from CDMX´s airport,10644799,Benito,,Venustiano Carranza,19.43949,-99.08769,Entire home/apt,465,1,626,2024-11-16,4.99,5,252,15,
2094427,Polanco Concept Studio Loft...,3675629,Patricia (Pâté),,Miguel Hidalgo,19.43573,-99.18955,Entire home/apt,1500,3,87,2024-07-03,0.69,5,308,1,
2112138,COYOACAN NICE ♥ FLAT !!,16840050,Mónica,,Coyoacán,19.35284,-99.1695,Entire home/apt,850,3,37,2019-12-19,0.28,2,351,0,
2117709,Nice and luminous apartment in Coyoacan,4079778,Rosa Maria,,Coyoacán,19.34219,-99.15952,Entire home/apt,748,3,9,2021-11-03,0.07,2,356,0,
2118573,Casa Kansas Pb 3B/3B WTC,10802698,Hector Alexis,,Benito Juárez,19.38777,-99.17532,Entire home/apt,2019,2,241,2024-12-03,1.81,3,77,11,
2127400,Stay like a local in Roma Norte,350668,Blair,,Cuauhtémoc,19.4191,-99.15904,Private room,1921,2,165,2024-12-14,1.24,1,264,6,
2178349,lovely apartment in the heart of CDMX,906106,Francisco Manuel,,Cuauhtémoc,19.429147720336914,-99.15665435791016,Entire home/apt,950,2,35,2024-12-14,0.26,1,311,8,
2228415,Contemporary House with Jacuzzi in San Angel,2518152,Martha Laura,,Álvaro Obregón,19.34948,-99.19381,Entire home/apt,6714,3,5,2023-11-04,0.05,7,179,0,
2238309,"La Condesa, beautiful Loft, GYM & Pool Wifi 450 Mb",7165956,Elena,,Cuauhtémoc,19.41689,-99.17792,Entire home/apt,1743,3,269,2024-09-14,2.12,2,0,7,
2267075,"Habitación 2, Insurgentes y Reforma",11576147,Salvador,,Cuauhtémoc,19.43356817253434,-99.15863118836057,Private room,500,1,6,2024-10-31,0.60,2,219,6,
